,电影名,上映时间,制作者
1,肖申克的救赎,1994,美国
2,霸王别姬,1993,中国大陆中国香港
3,阿甘正传,1994,美国
4,泰坦尼克号,1997,美国墨西哥澳大利亚加拿大
5,这个杀手不太冷,1994,法国美国
6,美丽人生,1997,意大利
7,千与千寻,2001,日本
8,辛德勒的名单,1993,美国
9,盗梦空间,2010,美国英国
10,星际穿越,2014,美国英国加拿大
11,楚门的世界,1998,美国
12,忠犬八公的故事,2009,美国英国
13,海上钢琴师,1998,意大利
14,三傻大闹宝莱坞,2009,印度
15,放牛班的春天,2004,法国瑞士德国
16,机器人总动员,2008,美国
17,无间道,2002,中国香港
18,疯狂动物城,2016,美国
19,控方证人,1957,美国
20,大话西游之大圣娶亲,1995,中国香港中国大陆
21,熔炉,2011,韩国
22,教父,1972,美国
23,当幸福来敲门,2006,美国
24,触不可及,2011,法国
25,怦然心动,2010,美国
26,龙猫,1988,日本
27,末代皇帝,1987,英国意大利中国大陆法国
28,寻梦环游记,2017,美国
29,活着,1994,中国大陆中国香港
30,蝙蝠侠：黑暗骑士,2008,美国英国
31,哈利·波特与魔法石,2001,美国英国
32,指环王3：王者无敌,2003,美国新西兰
33,乱世佳人,1939,美国
34,素媛,2013,韩国
35,飞屋环游记,2009,美国
36,我不是药神,2018,中国大陆
37,何以为家,2018,黎巴嫩美国法国塞浦路斯卡塔尔英国
38,十二怒汉,1957,美国
39,摔跤吧！爸爸,2016,印度
40,哈尔的移动城堡,2004,日本
41,鬼子来了,2000,中国大陆
42,少年派的奇幻漂流,2012,美国中国台湾英国加拿大
43,猫鼠游戏,2002,美国加拿大
44,让子弹飞,2010,中国大陆中国香港
45,大话西游之月光宝盒,1995,中国香港中国大陆
46,钢琴家,2002,英国法国波兰德国
47,海蒂和爷爷,2015,德国瑞士
48,天空之城,1986,日本
49,指环王2：双塔奇兵,2002,美国新西兰
50,闻香识女人,1992,美国
51,天堂电影院,1988,意大利法国
52,罗马假日,1953,美国
53,大闹天宫,196119641978,中国大陆
54,死亡诗社,1989,美国
55,绿皮书,2018,美国中国大陆
56,指环王1：护戒使者,2001,新西兰美国
57,黑客帝国,1999,美国
58,教父2,1974,美国
59,狮子王,1994,美国
60,辩护人,2013,韩国
61,饮食男女,1994,中国台湾美国
62,搏击俱乐部,1999,美国德国意大利
63,美丽心灵,2001,美国
64,本杰明·巴顿奇事,2008,美国
65,穿条纹睡衣的男孩,2008,英国美国
66,窃听风暴,2006,德国
67,情书,1995,日本
68,两杆大烟枪,1998,英国
69,西西里的美丽传说,2000,意大利美国
70,音乐之声,1965,美国
71,看不见的客人,2016,西班牙
72,拯救大兵瑞恩,1998,美国
73,阿凡达,2009,美国
74,飞越疯人院,1975,美国
75,小鞋子,1997,伊朗
76,哈利·波特与死亡圣器(下),2011,美国英国
77,沉默的羔羊,1991,美国
78,禁闭岛,2010,美国
79,布达佩斯大饭店,2014,美国德国英国
80,致命魔术,2006,英国美国
81,蝴蝶效应,2004,美国加拿大
82,海豚湾,2009,美国
83,心灵捕手,1997,美国
84,美国往事,1984,美国意大利
85,低俗小说,1994,美国
86,功夫,2004,中国大陆中国香港
87,摩登时代,1936,美国
88,春光乍泄,1997,中国香港日本韩国
89,哈利·波特与阿兹卡班的囚徒,2004,英国美国
90,喜剧之王,1999,中国香港
91,超脱,2011,美国
92,七宗罪,1995,美国
93,致命ID,2003,美国
94,杀人回忆,2003,韩国
95,红辣椒,2006,日本
96,加勒比海盗,2003,美国
97,狩猎,2012,丹麦瑞典
98,被嫌弃的松子的一生,2006,日本
99,哈利·波特与密室,2002,英国美国
100,7号房的礼物,2013,韩国
101,请以你的名字呼唤我,2017,意大利法国巴西美国
102,一一,2000,中国台湾日本
103,唐伯虎点秋香,1993,中国香港
104,断背山,2005,美国加拿大
105,剪刀手爱德华,1990,美国
106,勇敢的心,1995,美国
107,入殓师,2008,日本
108,爱在黎明破晓前,1995,美国奥地利瑞士
109,第六感,1999,美国
110,重庆森林,1994,中国香港
111,蝙蝠侠：黑暗骑士崛起,2012,美国英国
112,幽灵公主,1997,日本
113,菊次郎的夏天,1999,日本
114,超能陆战队,2014,美国
115,天使爱美丽,2001,法国德国
116,爱在日落黄昏时,2004,美国法国
117,阳光灿烂的日子,1994,中国大陆中国香港
118,小森林 夏秋篇,2014,日本
119,完美的世界,1993,美国
120,甜蜜蜜,1996,中国香港
121,无人知晓,2004,日本
122,借东西的小人阿莉埃蒂,2010,日本
123,消失的爱人,2014,美国
124,倩女幽魂,1987,中国香港
125,小森林 冬春篇,2015,日本
