,电影名,上映时间,制作者,剧情类型,评分,评价人数
1,肖申克的救赎,1994,美国,犯罪剧情,9.7,2786402人评价
2,霸王别姬,1993,中国大陆中国香港,剧情爱情同性,9.6,2062372人评价
3,阿甘正传,1994,美国,剧情爱情,9.5,2088131人评价
4,泰坦尼克号,1997,美国墨西哥澳大利亚加拿大,剧情爱情灾难,9.5,2049554人评价
5,这个杀手不太冷,1994,法国美国,剧情动作犯罪,9.4,2224110人评价
6,美丽人生,1997,意大利,剧情喜剧爱情战争,9.6,1283252人评价
7,千与千寻,2001,日本,剧情动画奇幻,9.4,2162963人评价
8,辛德勒的名单,1993,美国,剧情历史战争,9.6,1069168人评价
9,盗梦空间,2010,美国英国,剧情科幻悬疑冒险,9.4,1995273人评价
10,星际穿越,2014,美国英国加拿大,剧情科幻冒险,9.4,1745785人评价
11,楚门的世界,1998,美国,剧情科幻,9.4,1628065人评价
12,忠犬八公的故事,2009,美国英国,剧情,9.4,1356674人评价
13,海上钢琴师,1998,意大利,剧情音乐,9.3,1625395人评价
14,三傻大闹宝莱坞,2009,印度,剧情喜剧爱情歌舞,9.2,1802980人评价
15,放牛班的春天,2004,法国瑞士德国,剧情音乐,9.3,1270394人评价
16,机器人总动员,2008,美国,科幻动画冒险,9.3,1274857人评价
17,无间道,2002,中国香港,剧情犯罪惊悚,9.3,1309101人评价
18,疯狂动物城,2016,美国,喜剧动画冒险,9.2,1853278人评价
19,控方证人,1957,美国,剧情犯罪悬疑,9.6,522168人评价
20,大话西游之大圣娶亲,1995,中国香港中国大陆,喜剧爱情奇幻古装,9.2,1482957人评价
21,熔炉,2011,韩国,剧情,9.4,903286人评价
22,教父,1972,美国,剧情犯罪,9.3,929854人评价
23,当幸福来敲门,2006,美国,剧情传记家庭,9.2,1471623人评价
24,触不可及,2011,法国,剧情喜剧,9.3,1066019人评价
25,怦然心动,2010,美国,剧情喜剧爱情,9.1,1772415人评价
26,龙猫,1988,日本,动画奇幻冒险,9.2,1222678人评价
27,末代皇帝,1987,英国意大利中国大陆法国,剧情传记历史,9.3,841396人评价
28,寻梦环游记,2017,美国,喜剧动画奇幻音乐,9.1,1604385人评价
29,活着,1994,中国大陆中国香港,剧情历史家庭,9.3,810287人评价
30,蝙蝠侠：黑暗骑士,2008,美国英国,剧情动作科幻犯罪惊悚,9.2,1020987人评价
31,哈利·波特与魔法石,2001,美国英国,奇幻冒险,9.2,1136415人评价
32,指环王3：王者无敌,2003,美国新西兰,剧情动作奇幻冒险,9.3,774754人评价
33,乱世佳人,1939,美国,剧情历史爱情战争,9.3,666558人评价
34,素媛,2013,韩国,剧情,9.3,662422人评价
35,飞屋环游记,2009,美国,剧情喜剧动画冒险,9.1,1280106人评价
36,我不是药神,2018,中国大陆,剧情喜剧,9.0,2028284人评价
37,何以为家,2018,黎巴嫩美国法国塞浦路斯卡塔尔英国,剧情,9.1,1008719人评价
38,十二怒汉,1957,美国,剧情,9.4,468826人评价
39,摔跤吧！爸爸,2016,印度,剧情传记运动家庭,9.0,1520215人评价
40,哈尔的移动城堡,2004,日本,动画奇幻冒险,9.1,980690人评价
41,鬼子来了,2000,中国大陆,剧情喜剧,9.3,604008人评价
